OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lon
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199,40.49444,-95.08442
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,39.798365,-91.526854
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.199,38.703696,-93.23627
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.299,42.5776,-87.827264
1251,MAPCO #3009,US-72,Corinth,MS,435,3.154,34.904505,-88.483813
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,655,3.25566666,33.39019,-91.052512
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.97233333,37.021283,-78.143727
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,65,3.94733333,36.089779,-79.272072
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,177,3.08233333,35.486513,-79.196449
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,245,3.629,34.225493,-77.946116
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,205,3.199,35.730745,-77.925115
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,330,3.30733333,40.929415,-98.365395
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,230,3.499,40.126888,-74.713343
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,115,3.20233333,40.88371,-74.30598
